galaxy_id,galaxy_type_name,smooth_fraction,disk_fraction,spiral_fraction,odd_fraction,pca_reconstruction_error,isolation_forest_score
50146,Spiral,0.1621621549129486,0.054054055362939835,1.0,0.125,20.23697014325216,-0.5646348325127313
86789,Smooth,0.21212121844291687,0.03030303120613098,,0.0,20.06690494270697,-0.5708689787628829
59591,Smooth,0.2083333283662796,0.0416666679084301,,0.1666666716337204,19.8972469096941,-0.5567992199224852
156998,Spiral,0.1944444477558136,0.02777777798473835,1.0,0.0,19.511739060138417,-0.5489049418488358
38668,Spiral,0.25641027092933655,0.05128205195069313,1.0,0.1666666716337204,17.276689142303468,-0.5982242537349687
43972,Spiral,0.9230769276618958,0.05128205195069313,1.0,0.02631578966975212,15.730712941372984,-0.5499199030926764
56349,Smooth,0.7297297120094299,0.10810811072587967,0.3333333432674408,0.06451612710952759,15.480369074334666,-0.5740090167805803
20830,Smooth,0.6279069781303406,0.09302325546741486,0.3333333432674408,0.3870967626571655,15.47568959039562,-0.564201406487618
12253,Smooth,0.6097561120986938,0.31707316637039185,0.0833333358168602,0.5526315569877625,15.30713590766413,-0.5885170171051349
87618,Smooth,0.5517241358757019,0.4137931168079376,0.09090909361839294,0.8928571343421936,15.29564715592248,-0.5714923214972865
