Model,Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),AUROC (OvR)
SVM,0.9799570715860308,0.948519237861085,0.980644217362821,0.920378997353584,0.9842645587844908,0.9996539938675509
Logistic Regression,0.972473604826546,0.9251685270822864,0.9743658358144561,0.8867753623188405,0.9828338734415575,0.9979545290532942
Random Forest,0.868430212321615,0.5784414278392381,0.842392481094989,0.8162450321350931,0.5570265460753432,0.6636310222078173
