k,silhouette,davies_bouldin,ARI
3,0.251473504363433,1.4785337582566254,0.41627837431219
5,0.22156470588595722,1.642612376840292,0.24262375051173585
7,0.229138078723973,1.43072112918438,0.18641255788123404
10,0.18207900494892154,1.587348284880778,0.1014065438465776
